Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
A,1,0,0,0,0,0,0,1,0,0,0,0
AAPL,1,0,0,0,0,0,0,0,0,0,1,0
ABBV,1,0,0,0,0,0,0,1,0,0,0,0
ABT,1,0,0,0,0,0,0,1,0,0,0,0
ACGL,1,0,0,0,0,0,1,0,0,0,0,0
ACN,1,0,0,0,0,0,0,0,0,0,1,0
ADBE,1,0,0,0,0,0,0,0,0,0,1,0
ADI,1,0,0,0,0,0,0,0,0,0,1,0
ADM,1,0,0,0,1,0,0,0,0,0,0,0
ADP,1,0,0,0,0,0,0,0,0,0,1,0
ADSK,1,0,0,0,0,0,0,0,0,0,1,0
AEE,1,0,0,0,0,0,0,0,0,0,0,1
AEP,1,0,0,0,0,0,0,0,0,0,0,1
AES,1,0,0,0,0,0,0,0,0,0,0,1
AFL,1,0,0,0,0,0,1,0,0,0,0,0
AIG,1,0,0,0,0,0,1,0,0,0,0,0
AIZ,1,0,0,0,0,0,1,0,0,0,0,0
AJG,1,0,0,0,0,0,1,0,0,0,0,0
AKAM,1,0,0,0,0,0,0,0,0,0,1,0
ALB,1,1,0,0,0,0,0,0,0,0,0,0
ALGN,1,0,0,0,0,0,0,1,0,0,0,0
ALL,1,0,0,0,0,0,1,0,0,0,0,0
ALLE,1,0,0,0,0,0,0,0,1,0,0,0
AMAT,1,0,0,0,0,0,0,0,0,0,1,0
AMCR,1,0,0,1,0,0,0,0,0,0,0,0
AMD,1,0,0,0,0,0,0,0,0,0,1,0
AME,1,0,0,0,0,0,0,0,1,0,0,0
AMGN,1,0,0,0,0,0,0,1,0,0,0,0
AMP,1,0,0,0,0,0,1,0,0,0,0,0
AMT,1,0,0,0,0,0,0,0,0,1,0,0
AMZN,1,0,0,1,0,0,0,0,0,0,0,0
ANET,1,0,0,0,0,0,0,0,0,0,1,0
ANSS,1,0,0,0,0,0,0,0,0,0,1,0
AON,1,0,0,0,0,0,1,0,0,0,0,0
AOS,1,0,0,0,0,0,0,0,1,0,0,0
APA,1,0,0,0,0,1,0,0,0,0,0,0
APD,1,1,0,0,0,0,0,0,0,0,0,0
APH,1,0,0,0,0,0,0,0,0,0,1,0
APO,1,0,0,0,0,0,1,0,0,0,0,0
APTV,1,0,0,1,0,0,0,0,0,0,0,0
ARE,1,0,0,0,0,0,0,0,0,1,0,0
ATO,1,0,0,0,0,0,0,0,0,0,0,1
AVB,1,0,0,0,0,0,0,0,0,1,0,0
AVGO,1,0,0,0,0,0,0,0,0,0,1,0
AVY,1,0,0,1,0,0,0,0,0,0,0,0
AWK,1,0,0,0,0,0,0,0,0,0,0,1
AXON,1,0,0,0,0,0,0,0,1,0,0,0
AXP,1,0,0,0,0,0,1,0,0,0,0,0
AZO,1,0,0,1,0,0,0,0,0,0,0,0
BA,1,0,0,0,0,0,0,0,1,0,0,0
